side_a_device,side_a_type,side_a_name,side_b_name,side_b_type,side_b_device,status
SRV-003-007,dcim.interface,SLOT-7-NIC1-2,0/14,dcim.interface,SWT-003-004,connected
SRV-003-008,dcim.interface,SLOT-6-NIC1-1,0/15,dcim.interface,SWT-003-003,connected
SRV-003-008,dcim.interface,SLOT-6-NIC1-2,0/15,dcim.interface,SWT-003-004,connected
SRV-003-008,dcim.interface,SLOT-7-NIC1-1,0/16,dcim.interface,SWT-003-003,connected
SRV-003-008,dcim.interface,SLOT-7-NIC1-2,0/16,dcim.interface,SWT-003-004,connected
SRV-003-009,dcim.interface,SLOT-6-NIC1-1,0/17,dcim.interface,SWT-003-003,connected
SRV-003-009,dcim.interface,SLOT-6-NIC1-2,0/17,dcim.interface,SWT-003-004,connected
SRV-003-009,dcim.interface,SLOT-7-NIC1-1,0/18,dcim.interface,SWT-003-003,connected
SRV-003-009,dcim.interface,SLOT-7-NIC1-2,0/18,dcim.interface,SWT-003-004,connected
SRV-003-010,dcim.interface,SLOT-3-NIC1-1,0/19,dcim.interface,SWT-003-003,connected
SRV-003-010,dcim.interface,SLOT-3-NIC1-2,0/19,dcim.interface,SWT-003-004,connected
SRV-003-010,dcim.interface,SLOT-6-NIC1-1,0/20,dcim.interface,SWT-003-003,connected
SRV-003-010,dcim.interface,SLOT-6-NIC1-2,0/20,dcim.interface,SWT-003-004,connected
SRV-003-011,dcim.interface,SLOT-3-NIC1-1,0/21,dcim.interface,SWT-003-003,connected
SRV-003-011,dcim.interface,SLOT-3-NIC1-2,0/21,dcim.interface,SWT-003-004,connected
SRV-003-011,dcim.interface,SLOT-6-NIC1-1,0/22,dcim.interface,SWT-003-003,connected
SRV-003-011,dcim.interface,SLOT-6-NIC1-2,0/22,dcim.interface,SWT-003-004,connected
SRV-003-012,dcim.interface,SLOT-3-NIC1-1,0/23,dcim.interface,SWT-003-003,connected
SRV-003-012,dcim.interface,SLOT-3-NIC1-2,0/23,dcim.interface,SWT-003-004,connected
SRV-003-012,dcim.interface,SLOT-6-NIC1-1,0/24,dcim.interface,SWT-003-003,connected
SRV-003-012,dcim.interface,SLOT-6-NIC1-2,0/24,dcim.interface,SWT-003-004,connected
SRV-003-013,dcim.interface,SLOT-3-NIC1-1,0/25,dcim.interface,SWT-003-003,connected
SRV-003-013,dcim.interface,SLOT-3-NIC1-2,0/25,dcim.interface,SWT-003-004,connected
SRV-003-013,dcim.interface,SLOT-6-NIC1-1,0/26,dcim.interface,SWT-003-003,connected
SRV-003-013,dcim.interface,SLOT-6-NIC1-2,0/26,dcim.interface,SWT-003-004,connected
SRV-003-014,dcim.interface,SLOT-3-NIC1-1,0/27,dcim.interface,SWT-003-003,connected
SRV-003-014,dcim.interface,SLOT-3-NIC1-2,0/27,dcim.interface,SWT-003-004,connected
SRV-003-014,dcim.interface,SLOT-6-NIC1-1,0/28,dcim.interface,SWT-003-003,connected
SRV-003-014,dcim.interface,SLOT-6-NIC1-2,0/28,dcim.interface,SWT-003-004,connected
SRV-003-015,dcim.interface,SLOT-3-NIC1-1,0/29,dcim.interface,SWT-003-003,connected
